Pre Flop Hands and Associated Strength Levels Examples:
759: A-A
641: K-K
604: Q-Q
567: J-J
546: A-Ks
530: 10-10
504: A-Qs
494: A-Ko
478: A-Js
456: A-10s
453: A-Qo
445: K-Qs
443: 9-9
428: A-Jo
421: Q-Js
408: K-Js
407: A-10o
406: 8-8
399: A-9s
397: J-10s
395: K-Qo
385: K-10s
384: Q-10s
384: A-8s
373: Q-Jo
369: A-7s
369: 7-7
368: K-9s
362: Q-9s
361: J-9s
359: K-Jo
354: A-6s
351: J-10o
351: A-9o
345: Q-8s
339: A-5s
337: A-8o
337: Q-10o
337: K-10o
332: 6-6
324: A-4s
323: 10-9s
323: A-7o
321: K-9o
316: J-9o
316: Q-9o
316: K-8s
309: A-6o
309: A-3s
305: K-7s
300: Q-8o
299: 9-8s
295: 5-5
295: A-5o
294: A-2s
289: J-8s
288: 10-8s
281: A-4o
279: 10-9o
275: 8-7s
272: J-7s
270: K-8o
267: A-3o
266: 10-7s
264: 9-7s
260: K-7o
258: 4-4
257: 9-8o
253: A-2o
251: 7-6s
249: 10-6s
245: 10-8o
245: J-8o
244: Q-7s
244: K-6s
243: 9-6s
241: 8-6s
235: 8-7o
233: Q-6s
233: K-5s
229: J-7o
227: 6-5s
226: 9-5s
224: 10-7o
223: 9-7o
222: K-4s
222: Q-5s
222: J-6s
221: 3-3
220: 8-5s
217: 7-5s
213: 7-6o
211: Q-4s
211: J-5s
211: K-3s
208: 10-6o
203: 8-4s
203: 9-6o
203: 5-4s
202: 8-6o
200: K-6o
200: Q-7o
200: J-4s
200: Q-3s
200: 10-5s
200: K-2s
196: 7-4s
194: 6-4s
191: 6-5o
190: Q-6o
190: K-5o
189: J-3s
189: Q-2s
189: 10-4s
187: 9-5o
184: 2-2
182: 8-5o
180: 7-5o
180: Q-5o
180: K-4o
180: 7-3s
180: J-6o
179: 4-3s
178: 9-4s
178: J-2s
178: 10-3s
173: 6-3s
171: 5-3s
170: K-3o
170: J-5o
170: Q-4o
169: 5-4o
167: 10-2s
167: 9-3s
166: 8-4o
160: 10-5o
160: J-4o
160: Q-3o
160: K-2o
160: 7-4o
159: 6-4o
157: 6-2s
156: 9-2s
156: 8-3s
155: 3-2s
150: 10-4o
150: Q-2o
150: J-3o
150: 5-2s
147: 4-3o
147: 4-2s
145: 7-3o
145: 8-2s
140: J-2o
140: 9-4o
140: 10-3o
139: 6-3o
138: 5-3o
134: 7-2s
130: 9-3o
130: 10-2o
125: 3-2o
124: 6-2o
120: 8-3o
120: 9-2o
118: 5-2o
116: 4-2o
110: 8-2o
100: 7-2o
